"First Name","Last Name","Hire Date"
"Seongbae","Szmurlo","1986-01-02"
"Patricio","Shumilov","1986-01-02"
"Richard","Prenel","1986-01-02"
"Holgard","Nations","1986-01-02"
"Masoud","Brookman","1986-01-02"
"Niteen","Daescu","1986-01-02"
"Hilari","Merro","1986-01-02"
"Serif","Manderick","1986-01-02"
"Naftali","Itschner","1986-01-02"
"Amalendu","Ecklund","1986-01-02"
"Leucio","Perry","1986-01-02"
"Aria","Pluym","1986-01-02"
"Lucian","Limongiello","1986-01-02"
"Szabolcs","Eastman","1986-01-02"
"Ioana","Crabtree","1986-01-02"
"Kwangjo","Peral","1986-01-02"
"Kiyotoshi","Zaiane","1986-01-02"
"Ewing","Naudin","1986-01-02"
"Mohammad","Ghemri","1986-01-02"
"Yucel","Bojadziev","1986-01-02"
"Fumitaka","Pehl","1986-01-02"
"Georg","Felder","1986-01-02"
"Bedrich","Stemann","1986-01-02"
"Heeju","Simmen","1986-01-02"
"Kousuke","Suwa","1986-01-02"
"Kasturi","Jenevein","1986-01-02"
"Larisa","Brookner","1986-01-02"
"Kien","Sidhu","1986-01-02"
"Dung","Chelton","1986-01-02"
"Uwe","Swick","1986-01-02"
"Phuoc","Lanteri","1986-01-02"
"Lucian","Lovengreen","1986-01-02"
"Elgin","Besselaar","1986-01-02"
"Shaleah","Salverda","1986-01-02"
"Sanjit","Genther","1986-01-02"
"Marsha","Szilard","1986-01-02"
"Nechama","Waymire","1986-01-02"
"Berhard","Plavsic","1986-01-02"
"Hugh","Hitomi","1986-01-02"
"Poorav","Schwartzburd","1986-01-02"
"Adamantios","Ullian","1986-01-02"
"Frazer","Litvinov","1986-01-02"
"Lorien","Riefers","1986-01-02"
"Marin","Chachaty","1986-01-02"
"George","Driscoll","1986-01-02"
"Fumitake","Naudin","1986-01-02"
"Jungsoon","Zhiwei","1986-01-02"
"Kerryn","Zeilberger","1986-01-02"
"Maren","Morrow","1986-01-02"
"Lijie","Gecsei","1986-01-02"
"Shiv","Furedi","1986-01-02"
"Horward","Snedden","1986-01-02"
"Shuho","Koblitz","1986-01-02"
"Neelam","Deville","1986-01-02"
"Adel","Pero","1986-01-02"
"Maria","Granlund","1986-01-02"
"Danco","Lundstrom","1986-01-02"
"Khalid","Dahlbom","1986-01-02"
"Adas","Hofmeyr","1986-01-02"
"Jenwei","Erez","1986-01-02"
"Falguni","Mandell","1986-01-02"
"Miquel","Marrakchi","1986-01-02"
"Zengping","Gargeya","1986-01-02"
"Behnaam","Monarch","1986-01-02"
"Jouko","Zwicker","1986-01-02"
"Hugo","Pietracaprina","1986-01-02"
"Rance","Cullers","1986-01-02"
"Rutger","Vesel","1986-01-02"
"Sudhanshu","Demian","1986-01-02"
"Gully","Ghandeharizadeh","1986-01-02"
"Zhensheng","Laventhal","1986-01-02"
"Taegyun","Hiraishi","1986-01-02"
"Ramachenga","Domenig","1986-01-02"
"Danil","Panwar","1986-01-02"
"Tristan","Raoux","1986-01-02"
"Nathalie","Erva","1986-01-02"
"Oguz","Mattern","1986-01-02"
"Sasan","Kemmerer","1986-01-03"
"Henk","Bharadwaj","1986-01-03"
"Munehiko","Beznosov","1986-01-03"
"Woody","Fujisawa","1986-01-03"
"Ewing","Baalen","1986-01-03"
"Arra","Perna","1986-01-03"
"Aloke","Glinert","1986-01-03"
"Debaprosad","Hatcliff","1986-01-03"
"Insup","Copas","1986-01-03"
"Weidon","Dalphin","1986-01-03"
"Guangming","Pashtan","1986-01-03"
"Demos","Escriba","1986-01-03"
"Remmert","Bottner","1986-01-03"
"Yechezkel","Huhdanpaa","1986-01-03"
"Eric","Gunderson","1986-01-03"
"Ziva","Falco","1986-01-03"
"Aloke","Jiang","1986-01-03"
"Abdelaziz","Chinal","1986-01-03"
"Arvind","Furudate","1986-01-03"
"Christoper","Heystek","1986-01-03"
"Trygve","Rothenberg","1986-01-03"
"Steve","Maquelin","1986-01-03"
"Xuejun","Denos","1986-01-03"
"George","Borovoy","1986-01-03"
"Josyula","Highland","1986-01-03"
"Zongyan","Randt","1986-01-03"
"Guther","Kusalik","1986-01-03"
