"Employee Number","First Name","Last Name"
"11441","Marlo","Aingworth"
"106644","Martina","Aingworth"
"259313","Masadi","Aingworth"
"232462","Masali","Aingworth"
"72894","Mingzeng","Aingworth"
"498339","Naraig","Aingworth"
"36820","Navin","Aingworth"
"35529","Pragnesh","Aingworth"
"266510","Roded","Aingworth"
"271778","Samphel","Aingworth"
"488469","Sangeeta","Aingworth"
"30321","Shunichi","Aingworth"
"239915","Taizo","Aingworth"
"416104","Tze","Aingworth"
"482658","Wanqing","Aingworth"
"437594","Xumin","Aingworth"
"24681","Zhensheng","Aingworth"
"235864","Abdelkader","Akaboshi"
"70784","Abdelwaheb","Akaboshi"
"202510","Amstein","Akaboshi"
"99481","Arnd","Akaboshi"
"21144","Bouchung","Akaboshi"
"495439","Claude","Akaboshi"
"498841","Dhritiman","Akaboshi"
"101562","Eben","Akaboshi"
"48947","Filipp","Akaboshi"
"238797","Filipp","Akaboshi"
"456657","Frederique","Akaboshi"
"403627","Gennadi","Akaboshi"
"270905","Idoia","Akaboshi"
"18664","Itzchak","Akaboshi"
"401388","Katsuyuki","Akaboshi"
"200100","Kazuhito","Akaboshi"
"499310","Masanao","Akaboshi"
"23815","Minghong","Akaboshi"
"37409","Niranjan","Akaboshi"
"406648","Parviz","Akaboshi"
"279774","Pascal","Akaboshi"
"237338","Rildo","Akaboshi"
"12681","Rosalyn","Akaboshi"
"462427","Sailaja","Akaboshi"
"423907","Sanjit","Akaboshi"
"479302","Shawna","Akaboshi"
"410295","Shir","Akaboshi"
"472946","Sorina","Akaboshi"
"100538","Spyrose","Akaboshi"
"216943","Sudharsan","Akaboshi"
"477364","TRUE","Akaboshi"
"54045","Udaiprakash","Akaboshi"
"13335","Val","Akaboshi"
"283289","Yechezkel","Akaboshi"
"226896","Yurij","Akaboshi"
"484215","Arco","Akazan"
"475679","Arve","Akazan"
"482288","Billur","Akazan"
"34009","Boaz","Akazan"
"261484","Boguslaw","Akazan"
"51120","Demin","Akazan"
"22377","Demos","Akazan"
"207533","Faiza","Akazan"
"263552","Fan","Akazan"
"252867","Gal","Akazan"
"462344","Giao","Akazan"
"485200","Jacqueline","Akazan"
"477151","Jaewoo","Akazan"
"436085","Jiann","Akazan"
"17767","Jianwen","Akazan"
"412611","Kankanahalli","Akazan"
"498899","Kasidit","Akazan"
"206847","Luise","Akazan"
"97617","Mahmut","Akazan"
"89901","Mariusz","Akazan"
"17644","Mats","Akazan"
"12301","Oksana","Akazan"
"29306","Perla","Akazan"
"275687","Richard","Akazan"
"30425","Rimli","Akazan"
"40693","Serge","Akazan"
"23595","Seshu","Akazan"
"21963","Shawna","Akazan"
"62595","Shietung","Akazan"
"262742","Shuichi","Akazan"
"98153","Shunichi","Akazan"
"459049","Sudharsan","Akazan"
"44793","Sumali","Akazan"
"427489","Torsten","Akazan"
"34664","Tran","Akazan"
"200887","Valeska","Akazan"
"460839","Vishu","Akazan"
"81402","Yannik","Akazan"
"473611","Yechiam","Akazan"
"269518","Yishay","Akazan"
"106811","Yucel","Akazan"
"240587","Zorica","Akazan"
"446546","Basem","Akiyama"
"70365","Dines","Akiyama"
"212714","Dipayan","Akiyama"
"65907","Elvia","Akiyama"
"458633","Hausi","Akiyama"
"57325","Hidde","Akiyama"
"217250","Hongzue","Akiyama"
"467189","Ingmar","Akiyama"
"459147","Jongsuk","Akiyama"
"232686","Kazuhiko","Akiyama"
"43441","Kazuhiro","Akiyama"
"277550","Kazuhito","Akiyama"
"438037","Luigi","Akiyama"
"82611","Mabo","Akiyama"
"277512","Mana","Akiyama"
"428622","Marco","Akiyama"
"11226","Margareta","Akiyama"
"14591","Martijn","Akiyama"
"90764","Mingzeng","Akiyama"
"243435","Moriyoshi","Akiyama"
"484867","Oldrich","Akiyama"
"467594","Reinhard","Akiyama"
"65131","Shakhar","Akiyama"
"484067","Terresa","Akiyama"
"234116","Torsten","Akiyama"
"441067","Toshimo","Akiyama"
"269192","Ung","Akiyama"
"250990","Vasilii","Akiyama"
"79509","Vitaly","Akiyama"
"424904","Xiaoshan","Akiyama"
"53624","Zdislav","Akiyama"
"295900","Zhonghui","Akiyama"
"280684","Adel","Alameldin"
"230085","Aria","Alameldin"
"213801","Aruna","Alameldin"
"99832","Avishai","Alameldin"
"89970","Baruch","Alameldin"
"285201","Bernd","Alameldin"
"265077","Divine","Alameldin"
"439714","Fay","Alameldin"
"48313","Fox","Alameldin"
"427783","Gennady","Alameldin"
"403285","Geoff","Alameldin"
"276399","Geoffrey","Alameldin"
"248479","Gila","Alameldin"
"455141","Harjit","Alameldin"
"280650","Hironoby","Alameldin"
"20836","Jingling","Alameldin"
"42833","Kousuke","Alameldin"
"75370","Kwee","Alameldin"
"207806","Limsoon","Alameldin"
"264252","Lokesh","Alameldin"
"446475","Lunjin","Alameldin"
"205831","Mahmut","Alameldin"
"65998","Mandell","Alameldin"
"425501","Manton","Alameldin"
"51751","Marek","Alameldin"
"449122","Marin","Alameldin"
"265543","Nevio","Alameldin"
"487987","Poorav","Alameldin"
"211765","Saeko","Alameldin"
"73556","Sampalli","Alameldin"
"264339","Sanjeeva","Alameldin"
"45390","Sedat","Alameldin"
"87628","Sibyl","Alameldin"
"285660","Toshimori","Alameldin"
"109334","Tsutomu","Alameldin"
"472911","Wonhee","Alameldin"
"39360","Xiaobin","Alameldin"
"434605","Yahiko","Alameldin"
"36417","Aamod","Albarhamtoshy"
"45552","Aloys","Albarhamtoshy"
"462231","Anneke","Albarhamtoshy"
"496077","Anyuan","Albarhamtoshy"
"11715","Arnd","Albarhamtoshy"
"422716","Arvind","Albarhamtoshy"
"435281","Badri","Albarhamtoshy"
"280675","Chriss","Albarhamtoshy"
"215632","Franziska","Albarhamtoshy"
"82150","Gererd","Albarhamtoshy"
"48909","Ghassan","Albarhamtoshy"
"499271","Ghassan","Albarhamtoshy"
"274551","Giordano","Albarhamtoshy"
"461175","Hitofumi","Albarhamtoshy"
"59413","Huei","Albarhamtoshy"
"294922","Kauko","Albarhamtoshy"
"283395","Keung","Albarhamtoshy"
"470322","Kokou","Albarhamtoshy"
"66961","Lech","Albarhamtoshy"
"443777","Lena","Albarhamtoshy"
"441386","Marie","Albarhamtoshy"
"291936","Mario","Albarhamtoshy"
"438961","Marsha","Albarhamtoshy"
"26757","Masanao","Albarhamtoshy"
"294119","Oldrich","Albarhamtoshy"
"476204","Phuoc","Albarhamtoshy"
"13736","Pranas","Albarhamtoshy"
"235238","Pranjal","Albarhamtoshy"
"70940","Rasiah","Albarhamtoshy"
"475235","Richard","Albarhamtoshy"
"439542","Roselyn","Albarhamtoshy"
"235853","Sadegh","Albarhamtoshy"
"244592","Saeed","Albarhamtoshy"
"274446","Saeed","Albarhamtoshy"
"447050","Satosi","Albarhamtoshy"
"233966","Shimshon","Albarhamtoshy"
"261569","Thodoros","Albarhamtoshy"
"31533","Trygve","Albarhamtoshy"
"438707","Valeri","Albarhamtoshy"
"224279","Weidon","Albarhamtoshy"
"20817","Yucai","Albarhamtoshy"
"282266","Zhensheng","Albarhamtoshy"
"252568","Alselm","Alblas"
"477822","Angel","Alblas"
"210361","Basim","Alblas"
"447192","Berni","Alblas"
"230627","Chenxi","Alblas"
"289063","Deniz","Alblas"
"211241","Elzbieta","Alblas"
"47937","Gennadi","Alblas"
"104601","Georgy","Alblas"
"33515","Hidekazu","Alblas"
"427243","Hisao","Alblas"
"89868","Itzchak","Alblas"
"61865","Jouni","Alblas"
"248531","Mart","Alblas"
"239368","Mingsen","Alblas"
"36908","Nahid","Alblas"
"41407","Nalini","Alblas"
"299302","Saddek","Alblas"
"461330","Sadun","Alblas"
"420464","Shan","Alblas"
"469085","Steen","Alblas"
"38048","Stella","Alblas"
"36356","Susumu","Alblas"
"99495","Tayeb","Alblas"
"206053","Tsuneo","Alblas"
"245790","Yongmao","Alblas"
"28487","Ziva","Alblas"
"434168","Aiman","Alencar"
"109197","Augustine","Alencar"
"427066","Chandrasekaran","Alencar"
"93125","Charmane","Alencar"
"74969","Florian","Alencar"
"489599","Gianluca","Alencar"
"62900","Gio","Alencar"
"455912","Guther","Alencar"
"265355","Heng","Alencar"
"53418","Hiroyasu","Alencar"
"297567","Houman","Alencar"
"67643","Kiyotoshi","Alencar"
"257953","Kwangyoen","Alencar"
"404931","Mara","Alencar"
"109654","Masako","Alencar"
"77215","Mingsen","Alencar"
"453664","Mohan","Alencar"
"436958","Nimmagadda","Alencar"
"408016","Oddvar","Alencar"
"238341","Perry","Alencar"
"258477","Petter","Alencar"
"227910","Saniya","Alencar"
"419553","Shushma","Alencar"
"37903","Sibyl","Alencar"
"97666","Spyrose","Alencar"
"284518","Susumu","Alencar"
"201665","Troy","Alencar"
"255740","Tru","Alencar"
"74750","Tsutomu","Alencar"
"41687","Weidon","Alencar"
"450234","Xianlong","Alencar"
"420876","Aloys","Aloia"
"475152","Arie","Aloia"
"33975","Barry","Aloia"
"434162","Bodo","Aloia"
"271867","Chenye","Aloia"
"472515","Danai","Aloia"
"76678","Doohun","Aloia"
"76407","Elliott","Aloia"
"210038","Emdad","Aloia"
"416018","Fen","Aloia"
"36874","Genki","Aloia"
"252487","Gennady","Aloia"
"413573","Giordano","Aloia"
"101964","Gretta","Aloia"
"201626","Guiseppe","Aloia"
"31963","Heeju","Aloia"
"222836","Ishfaq","Aloia"
"19314","JoAnna","Aloia"
"209371","Karsten","Aloia"
"479817","Kiyokazu","Aloia"
"210476","Kwangho","Aloia"
"233767","Maya","Aloia"
"99732","Mong","Aloia"
"471529","Munir","Aloia"
"439040","Nakhoon","Aloia"
"60644","Nikolaos","Aloia"
"240999","Raimond","Aloia"
"407078","Rosella","Aloia"
"221882","Sahrah","Aloia"
"484033","Sanjeeva","Aloia"
"456007","Souichi","Aloia"
"461774","Vitaly","Aloia"
"298130","Vugranam","Aloia"
"459843","Weidon","Aloia"
"231877","Weijing","Aloia"
"70420","Xuejun","Aloia"
"44154","Yefim","Aloia"
"55874","Younwoo","Aloia"
"496650","Arumugam","Aloisi"
"228246","Bartek","Aloisi"
"265132","Baziley","Aloisi"
"417152","Chaitali","Aloisi"
"477190","Fan","Aloisi"
"260088","Frazer","Aloisi"
"42074","Georgy","Aloisi"
"421336","Gretta","Aloisi"
"30508","Herbert","Aloisi"
"233532","Kamakshi","Aloisi"
"490252","Kristof","Aloisi"
"15709","Lena","Aloisi"
"261839","Magy","Aloisi"
"403562","Mikhail","Aloisi"
"72503","Piyawadee","Aloisi"
"90151","Richara","Aloisi"
"73863","Somnath","Aloisi"
"201279","Tsz","Aloisi"
"287486","Xiaopeng","Aloisi"
"279185","Xiaoqiu","Aloisi"
"90193","Xuedong","Aloisi"
"427203","Xuedong","Aloisi"
"30209","Yannis","Aloisi"
"287859","Yuriy","Aloisi"
"27795","Anneli","Alpay"
"407643","Arunachalam","Alpay"
"102410","Boalin","Alpay"
"465434","Dayanand","Alpay"
"80565","Ekawit","Alpay"
"53555","Elgin","Alpay"
"66888","Elvia","Alpay"
"98890","Erez","Alpay"
"414666","Fai","Alpay"
"40224","Genevieve","Alpay"
"61070","Girolamo","Alpay"
"484866","Hatem","Alpay"
"85365","Hideyuki","Alpay"
"295094","Hitomi","Alpay"
"52240","Ibibia","Alpay"
"219523","Jaques","Alpay"
"496446","Jinpo","Alpay"
"92933","Kamakshi","Alpay"
"21135","KayLiang","Alpay"
"405888","Leucio","Alpay"
"441362","Lihong","Alpay"
"494487","Luerbio","Alpay"
"211081","Luisa","Alpay"
"407889","Mariusz","Alpay"
"102870","Marsal","Alpay"
"437161","Niclas","Alpay"
"283622","Ohad","Alpay"
"298624","Rafols","Alpay"
"101271","Shawna","Alpay"
"419230","Siamak","Alpay"
"222029","Sreenivas","Alpay"
"492769","Susanne","Alpay"
"202349","Takahiro","Alpay"
"440864","Tonia","Alpay"
"56618","Vidar","Alpay"
"200777","Ziyad","Alpay"
"298052","Aleksander","Alpin"
"241956","Arch","Alpin"
"465547","Bernice","Alpin"
"227840","Berry","Alpin"
"13292","Bokyung","Alpin"
"450913","Carrsten","Alpin"
"263970","Chenye","Alpin"
"105902","Constantine","Alpin"
"442362","Hailing","Alpin"
"34271","Insup","Alpin"
"474815","Jaroslava","Alpin"
"45514","Jessie","Alpin"
"50948","Jouko","Alpin"
"238792","Kaijung","Alpin"
"215818","Krisda","Alpin"
"79943","Kwee","Alpin"
"39377","Mingzeng","Alpin"
"76713","Mitsuyuki","Alpin"
"14813","Naftali","Alpin"
"70525","Ohad","Alpin"
"464670","Ortrun","Alpin"
"202547","Patricio","Alpin"
"488519","Qiwen","Alpin"
"67665","Sergi","Alpin"
"464942","Shiv","Alpin"
"214801","Supot","Alpin"
"224048","Syozo","Alpin"
"41129","Teiji","Alpin"
"287792","Tremaine","Alpin"
"88107","Valery","Alpin"
"207062","Vasilis","Alpin"
"442053","Weiwu","Alpin"
"251260","Xuejun","Alpin"
"209765","Yoshimitsu","Alpin"
"418000","Yuichiro","Alpin"
"10592","Almudena","Alvarado"
"80191","Bouchung","Alvarado"
"272246","Boutros","Alvarado"
"490447","Demin","Alvarado"
"106898","Evgueni","Alvarado"
"47132","Freyja","Alvarado"
"222128","Isaac","Alvarado"
"211850","Isamu","Alvarado"
"455466","Jianhua","Alvarado"
"295091","Kiyokazu","Alvarado"
"74587","Matk","Alvarado"
"276128","Mohan","Alvarado"
"493454","Muzhong","Alvarado"
"201925","Persi","Alvarado"
"289545","Quingbo","Alvarado"
"34586","Qunsheng","Alvarado"
"243078","Randy","Alvarado"
"17801","Taegyun","Alvarado"
"62842","Ulises","Alvarado"
"418675","Adin","Ambroszkiewicz"
"234978","Akhilish","Ambroszkiewicz"
"433469","Barna","Ambroszkiewicz"
"235094","Bikash","Ambroszkiewicz"
"80801","Bluma","Ambroszkiewicz"
"61068","Dinkar","Ambroszkiewicz"
"215658","Falguni","Ambroszkiewicz"
"19778","Ferdinand","Ambroszkiewicz"
"287624","Francesca","Ambroszkiewicz"
"84885","Gaetan","Ambroszkiewicz"
"85373","Gennady","Ambroszkiewicz"
"417571","Geoffry","Ambroszkiewicz"
"75964","Greger","Ambroszkiewicz"
"293346","Hausi","Ambroszkiewicz"
"98173","Irena","Ambroszkiewicz"
"499671","Jayesh","Ambroszkiewicz"
"481984","Jayesh","Ambroszkiewicz"
"477251","Jayson","Ambroszkiewicz"
"480988","Jeanna","Ambroszkiewicz"
"41042","Jiafu","Ambroszkiewicz"
"73632","Juichirou","Ambroszkiewicz"
"98128","Kazuhisa","Ambroszkiewicz"
"480166","Kazuyasu","Ambroszkiewicz"
"17377","Kien","Ambroszkiewicz"
"476529","Kiyotoshi","Ambroszkiewicz"
"48258","Leif","Ambroszkiewicz"
"244027","Macha","Ambroszkiewicz"
"260048","Magdalena","Ambroszkiewicz"
"98190","Masako","Ambroszkiewicz"
"276290","Mayuko","Ambroszkiewicz"
"256401","Moriyoshi","Ambroszkiewicz"
"76142","Nikolaos","Ambroszkiewicz"
"71336","Parviz","Ambroszkiewicz"
"409307","Shai","Ambroszkiewicz"
"286917","Shigehito","Ambroszkiewicz"
"277681","Taizo","Ambroszkiewicz"
"416924","Vishwani","Ambroszkiewicz"
"429513","Wanqing","Ambroszkiewicz"
"443145","Weiwu","Ambroszkiewicz"
"30591","Zijian","Ambroszkiewicz"
"89774","Adhemar","Anandan"
"479867","Akemi","Anandan"
"43480","Arco","Anandan"
"108250","Augustine","Anandan"
"215460","Eberhardt","Anandan"
"57288","Elvis","Anandan"
"277946","Gonzalo","Anandan"
"82950","Guenter","Anandan"
"464456","Hyuncheol","Anandan"
"41177","Jolita","Anandan"
"201047","Karoline","Anandan"
"492739","Khalid","Anandan"
"291385","Khun","Anandan"
"489735","Krister","Anandan"
"463329","Leon","Anandan"
"74583","Malu","Anandan"
"412012","Mara","Anandan"
"60046","Mary","Anandan"
"241952","Maya","Anandan"
"57554","Moie","Anandan"
"486582","Naftali","Anandan"
"107130","Nechama","Anandan"
"451503","Rance","Anandan"
"16715","Satosi","Anandan"
"424476","Spyrose","Anandan"
"203207","Stepehn","Anandan"
"446487","Uriel","Anandan"
"30655","Xuedong","Anandan"
"291124","Yucai","Anandan"
"446367","Achilleas","Ananiadou"
"431078","Adib","Ananiadou"
"227711","Along","Ananiadou"
"243780","Arto","Ananiadou"
"241885","Bezalel","Ananiadou"
"490241","Deniz","Ananiadou"
"482714","Fumino","Ananiadou"
"466817","Gadiel","Ananiadou"
"469651","Gaetan","Ananiadou"
"91681","Gennadi","Ananiadou"
"241325","Giordano","Ananiadou"
"493829","Girolamo","Ananiadou"
"14454","Gita","Ananiadou"
"108375","Greger","Ananiadou"
"415157","Insup","Ananiadou"
"64699","Jaana","Ananiadou"
"105552","Kellie","Ananiadou"
"217561","Kiyotoshi","Ananiadou"
"56602","Mack","Ananiadou"
"450937","Mahendra","Ananiadou"
"491899","Mary","Ananiadou"
"407360","Masamitsu","Ananiadou"
"477750","Seongbin","Ananiadou"
"479369","Shigenori","Ananiadou"
"423634","Spyrose","Ananiadou"
"279858","Szabolcs","Ananiadou"
"422292","Theron","Ananiadou"
"455485","Theron","Ananiadou"
"69429","Tooru","Ananiadou"
"477396","Willard","Ananiadou"
"439086","Yongdong","Ananiadou"
"255168","Ziva","Ananiadou"
"80779","Aamod","Andreotta"
"469821","Aluzio","Andreotta"
"420737","Becky","Andreotta"
"52469","Claude","Andreotta"
"420523","Danco","Andreotta"
"451895","Feiyu","Andreotta"
"437092","Gal","Andreotta"
"91277","Hauke","Andreotta"
"30991","Jaber","Andreotta"
"458040","JiYoung","Andreotta"
"471343","Mabo","Andreotta"
"471235","Maha","Andreotta"
"272400","Nishit","Andreotta"
"53464","Odoardo","Andreotta"
"79233","Prasadram","Andreotta"
"224367","Remzi","Andreotta"
"269723","Sachem","Andreotta"
"441683","Sanjai","Andreotta"
"455454","Shuho","Andreotta"
"69453","Temple","Andreotta"
"108580","Tiina","Andreotta"
"78163","Ult","Andreotta"
"443539","Vishu","Andreotta"
"403959","Aleksander","Androutsos"
"426012","Arunachalam","Androutsos"
"422470","Arvin","Androutsos"
"290236","Bodo","Androutsos"
"17632","Diederik","Androutsos"
"236778","Djelloul","Androutsos"
"469300","Fumitaka","Androutsos"
"464242","Gen","Androutsos"
"417830","Geoff","Androutsos"
"428219","Ghassan","Androutsos"
"33814","Hairong","Androutsos"
"450656","Heping","Androutsos"
"427216","Hugh","Androutsos"
"50096","Hyuckchul","Androutsos"
"227256","Jasminko","Androutsos"
"434817","JoAnna","Androutsos"
"412427","Kristen","Androutsos"
"453020","Marsja","Androutsos"
"200625","Masako","Androutsos"
"86766","Mong","Androutsos"
"480150","Munir","Androutsos"
"85332","Odoardo","Androutsos"
"490539","Ortrud","Androutsos"
"261511","Shiv","Androutsos"
"480205","Subhash","Androutsos"
"461967","Udo","Androutsos"
"222132","Ulises","Androutsos"
"277694","Ute","Androutsos"
"443557","Ute","Androutsos"
"25869","Weiyi","Androutsos"
"494386","Wojceich","Androutsos"
"81825","Xiaoheng","Androutsos"
"434826","Zito","Androutsos"
"455461","Adam","Angel"
"431403","Aemilian","Angel"
"464671","Aimee","Angel"
"470167","Aloke","Angel"
"442133","Bernd","Angel"
"247076","Bernice","Angel"
"37087","Claudi","Angel"
"455869","Dipayan","Angel"
"465401","Edwin","Angel"
"440725","Fayez","Angel"
"253621","Gino","Angel"
"493167","Greger","Angel"
"238255","Hinrich","Angel"
"91472","Jordanka","Angel"
"291549","Kazuhito","Angel"
"88807","Kristine","Angel"
"275200","Lucian","Angel"
"280076","Nagui","Angel"
"43291","Pragnesh","Angel"
"213565","Przemyslawa","Angel"
"47304","Rosita","Angel"
"271980","Shigenori","Angel"
"225307","Shiv","Angel"
"239028","Surveyors","Angel"
"104155","Toshimori","Angel"
"430052","Tsutomu","Angel"
"34722","Tze","Angel"
"23694","Ugo","Angel"
"28685","Valery","Angel"
"63191","Vincent","Angel"
"244687","Vitaly","Angel"
"86473","Weijing","Angel"
"41513","Adly","Angelopoulos"
"108172","Alois","Angelopoulos"
"17124","Amabile","Angelopoulos"
"454626","Aran","Angelopoulos"
"273385","Arumugam","Angelopoulos"
"446623","Beshir","Angelopoulos"
"294492","Eishiro","Angelopoulos"
"400335","Ennio","Angelopoulos"
"45498","Georg","Angelopoulos"
"495267","Giordano","Angelopoulos"
"434298","Guenter","Angelopoulos"
"298390","Guiseppe","Angelopoulos"
"422195","Guoxiang","Angelopoulos"
"234129","Jaihie","Angelopoulos"
"275898","Jessie","Angelopoulos"
"216146","Kazuyasu","Angelopoulos"
"447003","Leen","Angelopoulos"
"43222","Lenore","Angelopoulos"
"260904","Lobel","Angelopoulos"
"230691","Mantis","Angelopoulos"
"230986","Mantis","Angelopoulos"
"75305","Manu","Angelopoulos"
"436780","Manu","Angelopoulos"
"436060","Mitsuyuki","Angelopoulos"
"206407","Miyeon","Angelopoulos"
"247010","Mohua","Angelopoulos"
"17986","Oguz","Angelopoulos"
"17690","Panayotis","Angelopoulos"
"486562","Radoslaw","Angelopoulos"
"230008","Sajjan","Angelopoulos"
"215123","Sangeeta","Angelopoulos"
"207526","Satoru","Angelopoulos"
"487806","Shigehiro","Angelopoulos"
"493214","Snehasis","Angelopoulos"
"461881","Somnath","Angelopoulos"
"481525","Stabislas","Angelopoulos"
"227659","Takahira","Angelopoulos"
"200473","Xiahua","Angelopoulos"
"496326","Xuejun","Angelopoulos"
"15932","Zijian","Angelopoulos"
"265903","Abdelkader","Angelov"
"412511","Abdulah","Angelov"
"55826","Akemi","Angelov"
"448841","Berni","Angelov"
"410001","Boutros","Angelov"
"90092","Candida","Angelov"
"85599","Charmane","Angelov"
"295916","Eberhardt","Angelov"
"434206","Elrique","Angelov"
"38763","Froduald","Angelov"
"464304","Guadalupe","Angelov"
"246040","Jackson","Angelov"
"470524","Jinya","Angelov"
"62449","Jixiang","Angelov"
"53868","Jixiang","Angelov"
"103823","Jolita","Angelov"
"485044","Josyula","Angelov"
"204520","Kwee","Angelov"
"95371","Maik","Angelov"
"466943","Mayuri","Angelov"
"270590","Morris","Angelov"
"493440","Oscal","Angelov"
"89480","Palash","Angelov"
"236686","Palash","Angelov"
"422253","Prodip","Angelov"
"222563","Radhakrishnan","Angelov"
"213730","Seongbin","Angelov"
"27814","Shigenori","Angelov"
"467296","Shuzo","Angelov"
"473113","Toshimitsu","Angelov"
"62434","Uta","Angelov"
"93623","Valdiodio","Angelov"
"238422","Vishv","Angelov"
"278101","Vitali","Angelov"
"27516","Yurij","Angelov"
"493318","Zhonghua","Angelov"
"99613","Ziyad","Angelov"
"272760","Aiman","Anger"
"210739","Alper","Anger"
"225819","Arvind","Anger"
"220315","Bedrich","Anger"
"221068","Cheong","Anger"
"461700","Dekang","Anger"
"420776","Dhritiman","Anger"
"232927","Ebru","Anger"
"55400","Eckart","Anger"
"447320","Geoffrey","Anger"
"68365","Girolamo","Anger"
"33918","Gunilla","Anger"
"448538","Gunilla","Anger"
"67406","Hidekazu","Anger"
"291356","Hironoby","Anger"
"442277","Koichi","Anger"
"260602","Kwangho","Anger"
"22717","Leif","Anger"
"231851","Lena","Anger"
"24153","Lidong","Anger"
"478397","Mary","Anger"
"31425","Mohammad","Anger"
"24429","Murthy","Anger"
"459158","Naftali","Anger"
"235970","Paris","Anger"
"67136","Sariel","Anger"
"46777","Shigehito","Anger"
"58441","Shmuel","Anger"
"419821","Stella","Anger"
"475048","Sumant","Anger"
"72809","Sumant","Anger"
"215576","Takushi","Anger"
"449587","Temple","Anger"
"484981","Toshiko","Anger"
"495629","Ute","Anger"
"425220","Xiadong","Anger"
"406985","Xiaobin","Anger"
"80198","Yefim","Anger"
"81159","Yishai","Anger"
"496315","Yuichiro","Anger"
"425704","Zhiguo","Anger"
"458525","Amstein","Angiulli"
"427436","Annemarie","Angiulli"
"43608","Anoosh","Angiulli"
"26297","Aria","Angiulli"
"402644","Gianluca","Angiulli"
"48239","Hongzue","Angiulli"
"470949","Jacopo","Angiulli"
"423110","Jaroslava","Angiulli"
"217295","Jouko","Angiulli"
"267128","Kaijung","Angiulli"
"38523","Karoline","Angiulli"
"452028","Khalid","Angiulli"
"406319","Khosrow","Angiulli"
